Range,Origin,Importer,Coffee,Name,Processing,Harvest Year,Total Quantity (kg),Estimated release date,Estimated end date,Price green (€/kg),Price wholesale,Future wholesale price,Length of relationship (Years),Description
Süß & Einfach,Brazil,Falcon,Cafeina,Cafeina : Brazil : Natural,Natural,2022,13200,2023-01-30,2023-12-31,"€6,27","€23,90","€24,72",4,"The backbone of Vote's offering: muscovado, pecan nut, milk chocolate"
Süß & Einfach,Brazil,San Coffee / Algrano,Santa Clara 21,Santa Clara 21 : Brazil : Natural,Natural,2021,1800,2022-07-06,2023-04-10,"€5,58","€25,80",,3,The coffee next door: approachable and unassuming
Süß & Einfach,Brazil,San Coffee / Algrano,Santa Clara 22,Santa Clara 22 : Brazil : Natural,Natural,2022,1800,2023-04-10,2023-12-31,"€7,52","€26,60",,3,TBC
Favourites,Ethiopia,Clima,Koromii ,Koromii  : Ethiopia : Natural,Natural,2022,1500,2023-01-09,2023-12-31,"€12,75","€29,20","€34,35",4,"Everyone's favourite: dried apricot, jasmine, strawberry, milk chocolate"
Blend Component Only,Guinea,Macenta / Algrano,Djafa,Djafa : Guinea : Semi-Washed,Semi-Washed,2022,300,2023-01-01,2023-03-20,"€7,54",NA,,3,Full-bodied with tonnes of crema
Blend Component Only,Guinea,Macenta / Algrano,Sedimai,Sedimai : Guinea : Semi-Washed,Semi-Washed,2022,300,2023-03-23,2023-06-19,"€8,91",NA,,3,Full-bodied with tonnes of crema
Blend Component Only,Guinea,Macenta / Algrano,Djafa,Djafa : Guinea : Semi-Washed,Semi-Washed,2023,600,2023-06-19,2023-12-31,"€7,93",NA,,3,Full-bodied with tonnes of crema
Süß & Einfach,Burundi,Raw Material,Izuba Decaf,Izuba Decaf : Burundi : C02 Decaf,C02 Decaf,2021,420,2022-09-10,2023-03-13,"€9,12","€27,60",,2,Decent decaf: chamomille and malt
Favourites,Colombia,Raw Material,Villamaria Decaf,Villamaria Decaf : Colombia : Natural Decaf,Natural Decaf,2022,360,2023-03-13,2023-10-02,"€12,58","€34,10",,4,"Special decaf: malt, cherry, Lindt chocolate"
Süß & Einfach,Colombia,Azahar / Langdon,Northern Huila,Northern Huila : Colombia : Washed,Washed,2023,1200,2023-07-24,2024-01-31,"€8,86","€28,60",,1,"Perfect balance: red fruits, dark chocolate, high body"
Süß & Einfach,Ethiopia,Falcon,Beshasha G2,Beshasha G2 : Ethiopia : Washed,Washed,2022,900,2023-07-15,2023-02-01,"€8,86","€26,10",,3,"Simple and rich: shortbread, black tea"
